collectID,relationship,collectTexture
261,藏品材质,丝
262,藏品材质,"木,其他有机质"
263,藏品材质,纸
264,藏品材质,纸
265,藏品材质,丝
266,藏品材质,纸
267,藏品材质,"棉麻纤维,其他有机质,其他金属"
268,藏品材质,纸
269,藏品材质,纸
270,藏品材质,丝
271,藏品材质,"木,其他有机质"
272,藏品材质,瓷
273,藏品材质,纸
274,藏品材质,纸
275,藏品材质,纸
276,藏品材质,丝
277,藏品材质,"木,其他有机质"
278,藏品材质,瓷
279,藏品材质,丝
280,藏品材质,纸
281,藏品材质,纸
282,藏品材质,丝
283,藏品材质,纸
284,藏品材质,"木,其他有机质,银"
285,藏品材质,瓷
286,藏品材质,纸
287,藏品材质,纸
288,藏品材质,纸
289,藏品材质,纸
290,藏品材质,"木,银"
291,藏品材质,砖瓦
292,藏品材质,纸
293,藏品材质,纸
294,藏品材质,纸
295,藏品材质,纸
296,藏品材质,"木,银"
297,藏品材质,纸
298,藏品材质,纸
299,藏品材质,纸
300,藏品材质,纸
301,藏品材质,纸
302,藏品材质,"木,银"
303,藏品材质,纸
304,藏品材质,纸
305,藏品材质,纸
306,藏品材质,纸
307,藏品材质,纸
308,藏品材质,纸
309,藏品材质,丝
310,藏品材质,纸
311,藏品材质,纸
312,藏品材质,纸
313,藏品材质,丝
314,藏品材质,纸
315,藏品材质,纸
316,藏品材质,丝
317,藏品材质,纸
318,藏品材质,纸
319,藏品材质,纸
320,藏品材质,纸
321,藏品材质,丝
322,藏品材质,纸
323,藏品材质,纸
324,藏品材质,纸
325,藏品材质,纸
326,藏品材质,纸
327,藏品材质,丝
328,藏品材质,纸
329,藏品材质,纸
330,藏品材质,纸
331,藏品材质,纸
332,藏品材质,纸
333,藏品材质,丝
334,藏品材质,纸
335,藏品材质,纸
336,藏品材质,纸
337,藏品材质,纸
338,藏品材质,纸
339,藏品材质,丝
340,藏品材质,纸
341,藏品材质,纸
342,藏品材质,纸
343,藏品材质,纸
344,藏品材质,丝
345,藏品材质,纸
346,藏品材质,纸
347,藏品材质,纸
348,藏品材质,纸
349,藏品材质,丝
350,藏品材质,纸
351,藏品材质,纸
352,藏品材质,纸
353,藏品材质,丝
354,藏品材质,纸
355,藏品材质,纸
356,藏品材质,丝
357,藏品材质,纸
358,藏品材质,纸
359,藏品材质,纸
360,藏品材质,丝
361,藏品材质,木
362,藏品材质,纸
363,藏品材质,纸
364,藏品材质,宝玉石
365,藏品材质,木
366,藏品材质,纸
367,藏品材质,纸
368,藏品材质,其他无机质
369,藏品材质,木
370,藏品材质,纸
371,藏品材质,瓷
372,藏品材质,"棉麻纤维,其他有机质"
373,藏品材质,纸
374,藏品材质,纸
375,藏品材质,瓷
376,藏品材质,"棉麻纤维,其他有机质"
377,藏品材质,纸
378,藏品材质,纸
379,藏品材质,纸
380,藏品材质,纸
381,藏品材质,瓷
382,藏品材质,竹
383,藏品材质,纸
384,藏品材质,纸
385,藏品材质,纸
386,藏品材质,纸
387,藏品材质,瓷
388,藏品材质,木
389,藏品材质,纸
390,藏品材质,纸
391,藏品材质,纸
392,藏品材质,瓷
393,藏品材质,木
394,藏品材质,纸
