collectTexture
瓷
陶
瓷
陶
陶
陶
陶
"铜,其他无机质"
瓷
瓷
瓷
瓷
瓷
瓷
瓷
瓷
"棉麻纤维,其他有机质"
nan
nan
瓷
铜
铜
铜
铜
铜
铜
铜
铜
铜
铜
铜
铜
瓷
纸
木
纸
纸
纸
纸
纸
纸
纸
木
纸
纸
纸
纸
纸
木
纸
纸
纸
丝
纸
木
纸
纸
纸
纸
纸
木
纸
纸
纸
木
纸
纸
木
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
皮革
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
纸
"竹,毛,石"
纸
纸
纸
纸
铜
纸
宝玉石
纸
纸
纸
纸
纸
铜
纸
宝玉石
木
纸
纸
纸
纸
纸
宝玉石
"纸,骨角牙"
纸
纸
纸
纸
纸
瓷
木
纸
纸
纸
木
丝
纸
纸
纸
纸
"木,其他有机质"
"丝,棉麻纤维,玻璃"
纸
纸
"竹,纸"
"竹,纸,其他有机质"
纸
纸
"木,其他有机质"
木
纸
纸
"竹,纸"
"木,其他有机质"
其他金属
"木,棉麻纤维,其他植物质"
纸
纸
"竹,纸"
纸
"木,其他有机质"
其他金属
陶
纸
纸
"竹,纸"
"木,其他金属"
其他金属
"木,皮革,铜,其他无机质"
纸
纸
"竹,纸"
纸
"棉麻纤维,其他有机质,其他金属"
其他金属
铁
纸
纸
纸
"竹,纸"
纸
"木,其他有机质"
其他金属
"木,铁"
纸
纸
其他有机质
纸
纸
纸
"棉麻纤维,其他有机质,其他金属"
木
纸
纸
纸
"棉麻纤维,其他有机质"
"木,铁"
纸
纸
纸
纸
纸
"棉麻纤维,其他有机质"
纸
纸
纸
纸
纸
纸
"棉麻纤维,其他有机质"
纸
纸
纸
纸
"棉麻纤维,其他有机质,其他金属"
纸
纸
纸
纸
纸
"棉麻纤维,其他有机质"
纸
纸
纸
纸
丝
"棉麻纤维,其他有机质,其他金属"
纸
纸
纸
纸
丝
"木,其他有机质"
纸
纸
丝
纸
"棉麻纤维,其他有机质,其他金属"
纸
纸
丝
"木,其他有机质"
瓷
纸
纸
纸
丝
"木,其他有机质"
瓷
丝
纸
纸
丝
纸
"木,其他有机质,银"
瓷
纸
纸
纸
纸
"木,银"
砖瓦
纸
纸
纸
纸
"木,银"
纸
纸
纸
纸
纸
"木,银"
纸
纸
纸
纸
纸
纸
丝
纸
纸
纸
丝
纸
纸
丝
纸
纸
纸
纸
丝
纸
纸
纸
纸
纸
丝
纸
纸
纸
纸
纸
丝
纸
纸
纸
纸
纸
丝
纸
纸
纸
纸
丝
纸
纸
纸
纸
丝
纸
纸
纸
丝
纸
纸
丝
纸
纸
纸
丝
木
纸
纸
宝玉石
木
纸
纸
其他无机质
木
纸
瓷
"棉麻纤维,其他有机质"
纸
纸
瓷
"棉麻纤维,其他有机质"
纸
纸
纸
纸
