collectLevel
二级
二级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
二级
三级
三级
二级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
二级
三级
二级
三级
三级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
一般
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
二级
三级
二级
三级
三级
三级
三级
三级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
二级
三级
三级
二级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
二级
三级
三级
三级
三级
二级
三级
三级
三级
二级
三级
三级
二级
三级
三级
三级
二级
二级
二级
三级
二级
二级
三级
三级
二级
二级
三级
三级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
二级
二级
三级
三级
三级
三级
二级
三级
三级
三级
三级
二级
三级
三级
二级
三级
三级
二级
三级
二级
三级
三级
三级
二级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
二级
三级
三级
二级
二级
三级
三级
二级
三级
二级
三级
三级
二级
二级
三级
三级
二级
二级
三级
三级
二级
二级
三级
三级
三级
二级
三级
三级
三级
二级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
三级
二级
三级
三级
三级
三级
三级
二级
三级
二级
三级
三级
三级
三级
三级
二级
三级
三级
三级
二级
三级
三级
三级
二级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
三级
