Id,name,author,relicTime,imageUrl,description,realUrl
2009.63,Bowl,,20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=D168D4F2323555E6571DEC2C7DD1365992884E222DADE3FABF3DEA51E8FEC6B1&s=21&se=520794163&v=1&f=xx2009.63_o4.jpg,"Gift of Professor Frederick L. Beaty, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2009.63
2010.155,Brass Equatorial Sundial,,Late 19th–early 20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=0060CB56E8116AA395F3E9A539ACD887BC4F417DBF7750D2EE14199C3ACF2A07&s=21&se=520794163&v=1&f=xx2010.155_o4.jpg,"Raymond and Laura Wielgus Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2010.155
2012.1,Chinese Street Scenes,Unknown,19th century,https://piction-web.eas.iu.edu/piction/ump.di?e=A4A636801F34BFD58FE4431E7D97341F981D45435DDB56E17FE1BD576636E553&s=21&se=428332114&v=1&f=xx2012.1_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2012.1
2012.1.1,Man Demonstrating the Chinese Yo-Yo to a Young Boy,Unknown,19th century,https://piction-web.eas.iu.edu/piction/ump.di?e=49AA4041DE22A81E865E37BB54D346E92B269ADDA1090FD8B0E16BA2382ED23A&s=21&se=428332114&v=1&f=xx2012.1.1_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2012.1.1
2013.161,Vessel,,20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=618E815A3C558B48367C323826C6C7C065BEF9AA206BC9D7041EE6FD2D59EE56&s=21&se=428332114&v=1&f=xx2013.161_o4.jpg,"Gift of Francine and Roger Hurwitz, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2013.161
2014.39,Peranakan Wedding Jacket,,18th century,https://piction-web.eas.iu.edu/piction/ump.di?e=936D2226EF7D7A4F3227A0853DD32CA65FA61DBD2E00384173A0DD97934D9173&s=21&se=428332114&v=1&f=xx2014.39_o4.jpg,"Gift in Memory of Dr. &amp; Mrs. Luther S. Roehm from The Roehm Family Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2014.39
2014.57,Tettekisen Barin [Chinese hero Ma Lin] (Tsuzoku Suikoden goketsu hyakuhachi nin no hitori),"Utagawa Kuniyoshi (Japanese, 1797–1861)",19th century,https://piction-web.eas.iu.edu/piction/ump.di?e=FD07BA56359F5AC826EA25A6898E6E29722CE1FDAD235D50DEB410FCEF4483D1&s=21&se=428332114&v=1&f=xx2014.57_o4.jpg,"Estate of Sheldon K. &amp; Atsuko S. Lindley, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2014.57
2015.118,Silk Embroidery Panel from Chinese Robe,,19th–early 20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=C487E16C653AB73159ECE681C67046E0EF5999E2208D51166D8B823833DD182E&s=21&se=428332114&v=1&f=xx2015.118_o4.jpg,"Gift of Dana S. &amp; Steven B. Cook in memory of David Richman, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.118
2015.119,Silk Embroidery Panel from Chinese Robe,,19th–early 20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=C487E16C653AB731C41ED1E3F737D5102ADAF52E6A152A55E881DA74BFEDAD5F&s=21&se=428332114&v=1&f=xx2015.119_o4.jpg,"Gift of Dana S. &amp; Steven B. Cook in memory of David Richman, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.119
2015.120,Silk Embroidery Panel from Chinese Robe,,19th–early 20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=5C9FA9447B74DFE7911E41341E36B724D00D0E6D83FD20DF460AF9CD9307F8AF&s=21&se=428332114&v=1&f=xx2015.120_o4.jpg,"Gift of Dana S. &amp; Steven B. Cook in memory of David Richman, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.120
2015.121,Silk Embroidery Panel from Chinese Robe,,19th–early 20th century,https://piction-web.eas.iu.edu/piction/ump.di?e=0E6D1B2C0DB2D1A37F19B41C6D186669EC28885618BAAC6B425BFF6D04CAB018&s=21&se=428332114&v=1&f=xx2015.121_o4.jpg,"Gift of Dana S. &amp; Steven B. Cook in memory of David Richman, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2015.121
2020.42,Chinese Still Life with Bowl of Flowers,"Gustave Baumann (American, 1881–1971)",Ca. 1909,https://piction-web.eas.iu.edu/piction/ump.di?e=683A40864F2F7E5C69A863FCB5CA714ABCBC28019B17665151C9B67CE4B574E6&s=21&se=1921392988&v=1&f=xx2020.42_o4.jpg,"Gift of the Ann Baumann Trust, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2020.42
2021.93,Danse Chinoise,"Dorothy Dehner (American, 1901–1994)",1950,https://piction-web.eas.iu.edu/piction/ump.di?e=9B0D9576A0952728E742E3289A3BAEC537E451F9E798A3AD36AF6F71F4077532&s=21&se=56758018&v=1&f=xx2021.93_o4.jpg,"Gift of the Dehner Foundation, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2021.93
58.41,Ritual Food Vessel (Liding),,1300–1045 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=842800B483BF70E375DF191DCEBE357DEADD1871F8444EAEC0E0B20834AB0417&s=21&se=2139814423&v=1&f=xx58.41_o4.jpg,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.41
60.65,Model of a Farm Shed,Unknown,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=E1F62961D99B38FD1A37944D45383A6CAB64B2DE2C472DA89877725D2B020549&s=21&se=623265529&v=1&f=xx60.65_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.65
60.71,Mirror,,25–221,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.71
60.72,"Ko, Dagger Axe",,1600–1045 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.72
60.73,Ritual Wine Vessel (Jue),,1300–1045 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=9234B1B15DDC24BF476BB2900DC1FDB226424FA3F78839EEFA2E3A52F9F6D507&s=21&se=88177587&v=1&f=xx60.73_o4.jpg,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.73
60.74,Gui (Ritual Food Bowl) (Guǐ),,722–481 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.74
60.75,Ritual Wine Vessel (Zun),,1300–1045 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=D735627DA93041F4D5C83923716B1F1888FA8F27D54618744FB730E4114A8E88&s=21&se=1499601697&v=1&f=xx60.75_o4.jpg,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.75
60.76,Ritual Food Vessel (You),,1045–900 BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=D5FB7A9F2DD0DCDC2C97E465EE6A321084024CDEBAB81A378E74236B1299AFD1&s=21&se=1921392988&v=1&f=xx60.76_o4.jpg,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.76
61.77,Bowl with Exterior Lotus Petal Design,Unknown,12th century,https://piction-web.eas.iu.edu/piction/ump.di?e=4219E2FE6F8095C18D6C5A911A1818AEDFB1FFFDC57DC184A2AF16D65C382734&s=21&se=1335942602&v=1&f=xx61.77_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.77
62.10,Stallion,Unknown,7th–10th century,https://piction-web.eas.iu.edu/piction/ump.di?e=EDD6E13C736FFAA6B95160FDF4C88AFED187CA364FFFE310F36FC9DB8BB16774&s=21&se=1335942602&v=1&f=xx62.10_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.10
62.11,Ox and Cart,Unknown,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=3082D0C902F8020A29537DD9D9B3FD37E85513F696F44B8A1EF4955520EF1198&s=21&se=1335942602&v=1&f=xx79.200.II.62.11_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.11
62.12A,Seated Female Musician Playing a Pipa,Unknown,7th–early 10th century,https://piction-web.eas.iu.edu/piction/ump.di?e=4245CD54AFA07D4ABA673B891C73CED0A50F0112B484DB799525960F52797EAE&s=21&se=1335942602&v=1&f=xx62.12a_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.12A
62.12B,Seated Female Musician Playing a Paixiao,Unknown,7th–early 10th century,https://piction-web.eas.iu.edu/piction/ump.di?e=3EF1DDC0C269851D87C73A73D907A3D3F3F513058E812145BE96E92920064F70&s=21&se=1335942602&v=1&f=xx62.12b_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.12B
62.174,Mortuary Urn,Unknown,2nd millennium BCE,https://piction-web.eas.iu.edu/piction/ump.di?e=24623B429836B4E6FBD21D803504711490864A436A13C14332238F39C0A46C55&s=21&se=1335942602&v=1&f=xx62.174_o4.jpg,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.174
62.175,Hill Jar with Cover,Unknown,206 BCE–220 CE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.175
62.7,Guardian Standing on a Demon,Unknown,7th–10th century,https://piction-web.eas.iu.edu/piction/ump.di?e=F6B58D384F5B58F96886A39A3D039965F9C6577CD9F7052AB22C84A743C8BED9&s=21&se=1335942602&v=1&f=xx62.7_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=62.7
64.47,Stele,Unknown,1368–1644,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=64.47
65.27,Vase with Peony Decoration,Unknown,Late 11th–12th century,https://piction-web.eas.iu.edu/piction/ump.di?e=AC463D7C8217975F0483DBD317E79149709DC3F9B1C5B4F3CF4F16E9ECC5367B&s=21&se=201777714&v=1&f=xx65.27_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=65.27
65.28,Bowl with Incised Wave and Floral Design,Unknown,12th–13th century,https://piction-web.eas.iu.edu/piction/ump.di?e=966BBC3717931B39DEFF230AE81539A2B0B5D32CA79DF9095E1F50080FAB0F0D&s=21&se=1730278608&v=1&f=xx65.28_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=65.28
66.2,Celadon Bowl with Floral Design,Unknown,960–1279,https://piction-web.eas.iu.edu/piction/ump.di?e=A85EF3D7F1B75C18342183EBBDB7B9F3D023AF8C4781E17F87B3440E74F59C34&s=21&se=1730278608&v=1&f=xx66.2_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.2
66.4,Ding Ware Dish with Incised Fish Design,Unknown,12th century,https://piction-web.eas.iu.edu/piction/ump.di?e=86F6D5B3393819C3BFEC7FADBF1BB1CE9B3E1D4F734A0A212B069254107FA715&s=21&se=1730278608&v=1&f=xx66.4_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.4
66.6,Celadon Bowl with Incised Design,Unknown,12th century,https://piction-web.eas.iu.edu/piction/ump.di?e=DA350D528837CB887384678D883C5AC6D0269298306E2C2A9C8FF2B2DF86B5B9&s=21&se=1730278608&v=1&f=xx66.6_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.6
66.73,Avalokiteshvara Figurine with Halo (Guanyin),Unknown,560–580,,"Gift of Raymond Wielgus, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=66.73
69.9,Chinese Beauty Washing,"Katsushika Hokusai (Japanese, 1760–1849)",1798,https://piction-web.eas.iu.edu/piction/ump.di?e=09052D2E67FECED3B18BA93A4BAF4BC9DFBA0E0010151600E37FBEC2BBD69745&s=21&se=1730278608&v=1&f=xx69.9_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=69.9
75.16.2,Model of an Oven,Unknown,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=CFA555539107448814117DE1C7C0578DF1B89D8A543CE2A3407767CF85E66114&s=21&se=1730278608&v=1&f=xx75.16.2_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=75.16.2
75.16.3,Vase with Dragon-Head  Handles,Unknown,618–906,https://piction-web.eas.iu.edu/piction/ump.di?e=CD265ABD3B7BE7903895032646EFD8C1CC27561D9B07AD46B3623A6CA0580F2A&s=21&se=1730278608&v=1&f=xx75.16.3_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=75.16.3
75.16.9,"Jian Ware Tea Bowl with ""Hare's Fur"" Glaze",Unknown,12th century,https://piction-web.eas.iu.edu/piction/ump.di?e=2306EEA8CEE4D0DA9EC2CEB1C452BD76B3C5E144E744A7C4D5F1BC36930E9509&s=21&se=1730278608&v=1&f=xx75.16.9_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=75.16.9
77.51,Standing Female Attendant,Unknown,206 BCE–220 CE,https://piction-web.eas.iu.edu/piction/ump.di?e=BEA191BF4A9E6E93A9156E4E8BF44D87420F0BE675448A30D771F6FAFFD063CD&s=21&se=1730278608&v=1&f=xx77.51_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=77.51
81.69,Chinese Scholar (Li Bo) Gazing at a Waterfall,"Tani Bunchō (Japanese, 1763–1840)",Mid 1830s,https://piction-web.eas.iu.edu/piction/ump.di?e=02CF9836335D8C854DEA6C6782D77C6D472AA91FC1D5E3770D60BE332659ACF4&s=21&se=1316871514&v=1&f=xx81.69_o4.jpg,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=81.69
87.26.1.993,Embroidery Fragment,,Unknown,,"Gift of Gloria Middeldorf in Memory of Ulrich Middeldorf, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=87.26.1.993
98.108,Interior with Family Gathering,Chinese School,19th century,https://piction-web.eas.iu.edu/piction/ump.di?e=ADBF0E7E02BB5E0D2665A72F6DABA2A6D4F90895167067A5200AA60F6AE1BB71&s=21&se=1316871514&v=1&f=xx98.108_o4.jpg,"Morton and Marie Bradley Memorial Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=98.108
98.125,Interior with a Family at a Meal,Chinese School,19th century,https://piction-web.eas.iu.edu/piction/ump.di?e=D61E56A0328E61DF2D703EB1CA9482AD5026D623BF6F0DB75592ED353F932EFC&s=21&se=1316871514&v=1&f=xx98.125_o4.jpg,"Morton and Marie Bradley Memorial Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=98.125
