Id,name,author,relicTime,imageUrl,description,realUrl
57.19,The Death of Hamlet (Mort d'Hamlet),"Eugène Delacroix (French, 1798–1863)",Ca. 1843,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=57.19
57.31,Monturi 6 White Ellipse,"Willi Baumeister (German, 1889–1955)",1953,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=57.31
57.32,Magdalen Repentant,"Giovanni da San Giovanni (Italian, 1592–1636)",Early 17th century,,"Gift of Emile E. Wolf, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=57.32
59.1,Crucifix,,Unknown,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.1
59.14,Female Figure,,19th–mid 20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.14
2022.284,"Repairing the hull of the ""Graf Zeppelin"" during the flightover the Atlantic","Alfred Eisenstaedt (American, 1898 - 1995)",1934,,"Gift of Lee Marks and John C. DePrez Jr., Shelbyville, Indiana, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.284
2022.298,On In Thru Under,"William Wegman (American, born 1942)",1983,,"Museum purchase with funds from the Estate of Herman B Wells for the Collection of Lee Marks and John C. DePrez, Jr., Shelbyville, Indiana, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.298
2022.50,Cat's Cradle,"Alison Saar (American, born 1956)",2015,,"Museum purchase with funds from Nancy and Bill Hunt and the Jane Fortune Fund for Virtual Advancement of Women Artists, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.50
2022.51,Black Bottom Stomp,"Alison Saar (American, born 1956)",2017,,"Museum purchase with funds from Nancy and Bill Hunt and the Jane Fortune Fund for Virtual Advancement of Women Artists, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.51
2022.49,Shorn,"Alison Saar (American, born 1956)",2014,,"Museum purchase with funds from Nancy and Bill Hunt and the Jane Fortune Fund for Virtual Advancement of Women Artists, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.49
