author
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
文伯仁
""
""
""
""
""
张弼
文征明
""
""
高瀔
康有为
方琮
李流芳
蓝瑛
""
""
""
""
胡文明
""
朱鹤年
傅雯
钱杜
高其佩
张崟
尹戎生
丁衍庸
潘玉良
周刚
陈之佛
徐悲鸿
李芳
庞薰琹
庞薰琹
王震
于非闇
朱德群
张大千
陈树人
姚华
吴冠忠
张大千
王震
林风眠
庞薰琹
白明
齐白石
白明
徐悲鸿
魏立刚
齐白石
齐白石
张大千
王克平
常玉
潘玉良
常玉
常玉
黄宾虹
朱德群
溥儒
魏立刚
齐白石
林风眠
陈之佛
常玉
沈尹默
傅抱石
马德升
马德升
姚华
傅抱石
张大千
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
中文学校
中文学校
